Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Luxembourg;92527.7118069642;94243.7073233917;96269.5793851216;97597.9969176553;100292.568479162;101222.045664401;105614.179863952;112417.878458001;110094.792338745;104574.349887682;106544.057241723;105290.249048827;104487.744238704;105338.956059283;105583.937014123;105462.012584423;
Latvia;6726.50490609639;7245.14476345557;7849.28261736191;8593.03114165918;9406.80311731081;10527.9127366212;11896.220843403;13186.2472509517;12893.4363181929;11240.4011993716;10963.6787469282;11451.451370681;12410.3079947414;12796.1677079946;13162.6840536934;13786.4567953114;
St. Martin (French part);;;;;;;;;;;;;;;;;
Morocco;1763.40075683594;1869.66687011719;1905.07202148438;1994.8154296875;2065.99926757813;2109.06225585938;2242.39697265625;2294.51416015625;2401.60180664063;2472.79321289063;2534.25903320313;2631.4541015625;2673.04565429688;2754.84912109375;2788.72094726563;2875.25805664063;
Monaco;121655.158857015;123068.660218205;123081.206415361;123143.428655762;124848.436244562;125925.465488821;131881.846358463;149446.595032353;148993.102711697;130794.904977397;132094.011681148;139708.45688863;139442.718139608;150972.220341856;160000.367675744;165989.505113832;
Moldova;1338.26504186343;1423.07801532457;1537.63485362493;1643.74076310606;1769.75146407469;1907.11764444425;2004.22204004488;2069.13773980556;2234.78083591829;2103.34739854669;2254.93579279869;2387.5117376279;2373.74303074537;2589.11473908003;2720.21840915666;2732.46072997894;
Madagascar;487.660139905495;501.118462759215;425.739290517265;453.493358807362;463.287983306334;471.19491648037;482.334888265079;495.363132797316;513.733067035951;479.559968430628;469.240527793632;463.662747190002;464.743174122224;462.707783867604;465.416275523508;467.235431614314;
Maldives;6981.54797014363;6544.29791320583;6832.02243440744;7553.29147742697;7788.1669463779;6589.12717060847;8109.57411896439;8534.90423319934;9119.29644767056;8222.04445890965;8521.83810538502;8892.91139669617;8732.62917111605;8954.55659239832;9181.71173936521;9033.41027034576;
Middle East & North Africa;5673.71257707749;5650.44738484322;5627.87326372422;5800.2374026388;6137.07793080294;6317.1407831352;6548.66582762325;6745.5945903293;6906.35230400849;6805.26610807947;6998.9993478614;7102.35718650354;7259.39700373902;7276.36864845429;7338.34745221177;7375.4647556023;
Mexico;8861.86956567291;8702.9848728584;8580.88729814666;8587.08855266964;8801.32190186818;8877.85129102564;9142.80477389632;9214.35353384224;9181.39996717864;8568.61814933121;8878.56137655041;9076.30145285741;9280.25863791442;9282.99193347296;9426.32458789743;9616.64555810607;
Marshall Islands;2976.84123418844;3139.40401859524;3197.34570730217;3081.13719255588;3052.66172259344;3080.342762003;3041.57267103022;3124.08557256539;2924.76765302852;3013.13305483957;3208.02327850819;3179.1858325667;3095.9197348004;3207.81269211178;3163.43668572828;3199.88684631989;
Middle income;2371.48255850471;2428.26853478428;2511.69376800786;2630.19940510697;2798.2221575501;2966.0938386274;3172.23931730116;3414.55554213074;3573.80544818614;3645.30776775799;3889.43775290111;4088.6596110574;4263.97535001105;4441.44484737631;4605.26384816923;4755.93561006956;
North Macedonia;3283.37786294181;3169.32371701905;3240.10918672657;3301.31213313842;3445.80688587016;3600.95228354912;3779.67502572519;4017.79210065609;4230.7330855348;4207.80489815142;4339.96438006305;4433.88746631908;4408.29643693647;4530.68210673617;4687.29638777264;4861.55397141497;
